Lexeme                         Line  Token name                     Value      Parent                         Leaf?    Non terminal symbol           

_computeFunctionValue          6     TK_FUNID                       0.00       <function>                     yes      ---                           
---                            -1    <function>                     0.00       <otherFunctions>               no       <function>                    
input                          6     TK_INPUT                       0.00       <input_par>                    yes      ---                           
---                            -1    <input_par>                    0.00       <function>                     no       <input_par>                   
parameter                      6     TK_PARAMETER                   0.00       <input_par>                    yes      ---                           
list                           6     TK_LIST                        0.00       <input_par>                    yes      ---                           
[                              6     TK_SQL                         0.00       <input_par>                    yes      ---                           
int                            6     TK_INT                         0.00       <primitiveDatatype>            yes      ---                           
---                            -1    <primitiveDatatype>            0.00       <dataType>                     no       <primitiveDatatype>           
---                            -1    <dataType>                     0.00       <parameter_list>               no       <dataType>                    
---                            -1    <parameter_list>               0.00       <input_par>                    no       <parameter_list>              
c3                             6     TK_ID                          0.00       <parameter_list>               yes      ---                           
,                              6     TK_COMMA                       0.00       <remaining_list>               yes      ---                           
---                            -1    <remaining_list>               0.00       <parameter_list>               no       <remaining_list>              
int                            6     TK_INT                         0.00       <primitiveDatatype>            yes      ---                           
---                            -1    <primitiveDatatype>            0.00       <dataType>                     no       <primitiveDatatype>           
---                            -1    <dataType>                     0.00       <parameter_list>               no       <dataType>                    
---                            -1    <parameter_list>               0.00       <remaining_list>               no       <parameter_list>              
c4                             6     TK_ID                          0.00       <parameter_list>               yes      ---                           
,                              6     TK_COMMA                       0.00       <remaining_list>               yes      ---                           
---                            -1    <remaining_list>               0.00       <parameter_list>               no       <remaining_list>              
int                            6     TK_INT                         0.00       <primitiveDatatype>            yes      ---                           
---                            -1    <primitiveDatatype>            0.00       <dataType>                     no       <primitiveDatatype>           
---                            -1    <dataType>                     0.00       <parameter_list>               no       <dataType>                    
---                            -1    <parameter_list>               0.00       <remaining_list>               no       <parameter_list>              
c5                             6     TK_ID                          0.00       <parameter_list>               yes      ---                           
0                              0     TK_EPS                         0.00       <remaining_list>               yes      ---                           
---                            -1    <remaining_list>               0.00       <parameter_list>               no       <remaining_list>              
]                              6     TK_SQR                         0.00       <input_par>                    yes      ---                           
output                         7     TK_OUTPUT                      0.00       <output_par>                   yes      ---                           
---                            -1    <output_par>                   0.00       <function>                     no       <output_par>                  
parameter                      7     TK_PARAMETER                   0.00       <output_par>                   yes      ---                           
[                              7     TK_LIST                        0.00       <output_par>                   yes      ---                           
[                              7     TK_SQL                         0.00       <output_par>                   yes      ---                           
real                           7     TK_REAL                        0.00       <primitiveDatatype>            yes      ---                           
---                            -1    <primitiveDatatype>            0.00       <dataType>                     no       <primitiveDatatype>           
---                            -1    <dataType>                     0.00       <parameter_list>               no       <dataType>                    
---                            -1    <parameter_list>               0.00       <output_par>                   no       <parameter_list>              
c6                             7     TK_ID                          0.00       <parameter_list>               yes      ---                           
0                              0     TK_EPS                         0.00       <remaining_list>               yes      ---                           
---                            -1    <remaining_list>               0.00       <parameter_list>               no       <remaining_list>              
]                              7     TK_SQR                         0.00       <output_par>                   yes      ---                           
;                              7     TK_SEM                         0.00       <function>                     yes      ---                           
0                              0     TK_EPS                         0.00       <typeDefinitions>              yes      ---                           
---                            -1    <typeDefinitions>              0.00       <stmts>                        no       <typeDefinitions>             
---                            -1    <stmts>                        0.00       <function>                     no       <stmts>                       
type                           8     TK_TYPE                        0.00       <declaration>                  yes      ---                           
---                            -1    <declaration>                  0.00       <declarations>                 no       <declaration>                 
real                           8     TK_REAL                        0.00       <primitiveDatatype>            yes      ---                           
---                            -1    <primitiveDatatype>            0.00       <dataType>                     no       <primitiveDatatype>           
---                            -1    <dataType>                     0.00       <declaration>                  no       <dataType>                    
:                              8     TK_COLON                       0.00       <declaration>                  yes      ---                           
;                              8     TK_ID                          0.00       <declaration>                  yes      ---                           
0                              0     TK_EPS                         0.00       <global_or_not>                yes      ---                           
---                            -1    <global_or_not>                0.00       <declaration>                  no       <global_or_not>               
;                              8     TK_SEM                         0.00       <declaration>                  yes      ---                           
---                            -1    <declarations>                 0.00       <stmts>                        no       <declarations>                
type                           9     TK_TYPE                        0.00       <declaration>                  yes      ---                           
---                            -1    <declaration>                  0.00       <declarations>                 no       <declaration>                 
real                           9     TK_REAL                        0.00       <primitiveDatatype>            yes      ---                           
---                            -1    <primitiveDatatype>            0.00       <dataType>                     no       <primitiveDatatype>           
---                            -1    <dataType>                     0.00       <declaration>                  no       <dataType>                    
:                              9     TK_COLON                       0.00       <declaration>                  yes      ---                           
c4bbb                          9     TK_ID                          0.00       <declaration>                  yes      ---                           
0                              0     TK_EPS                         0.00       <global_or_not>                yes      ---                           
---                            -1    <global_or_not>                0.00       <declaration>                  no       <global_or_not>               
;                              9     TK_SEM                         0.00       <declaration>                  yes      ---                           
---                            -1    <declarations>                 0.00       <declarations>                 no       <declarations>                
0                              0     TK_EPS                         0.00       <declarations>                 yes      ---                           
---                            -1    <declarations>                 0.00       <declarations>                 no       <declarations>                
c6                             10    TK_ID                          0.00       <SingleOrRecId>                yes      ---                           
---                            -1    <SingleOrRecId>                0.00       <assignmentStmt>               no       <SingleOrRecId>               
0                              0     TK_EPS                         0.00       <option_single_constructed>    yes      ---                           
---                            -1    <option_single_constructed>    0.00       <SingleOrRecId>                no       <option_single_constructed>   
